JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise|RefInterne
20|JOURNAL D' OD|1|20210101|10130000|CAPITAL APPELE VERSE|||0000|20210101|CAPITAL APPELE VERSE|0|500|||20221214|||1734
20|JOURNAL D' OD|1|20210101|45510100|C/C BENJAMIN BINET|||0000|20210101|CAPITAL APPELE VERSE|500|0|||20221214|||1734
bq|Banque|2|20210215|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||RELBQ|20210215|PRLV SEPA Haute-Normandie|157|0|||20221208|||1735
bq|Banque|2|20210215|51200000|BOURSORAMA|||RELBQ|20210215|PRLV SEPA Haute-Normandie|0|157|||20221208|||1735
bq|Banque|3|20210215|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210215|VIR INST MANGOPAY SA|0|202,1|||20221208|||1736
bq|Banque|3|20210215|51200000|BOURSORAMA|||RELBQ|20210215|VIR INST MANGOPAY SA|202,1|0|||20221208|||1736
bq|Banque|4|20210215|64115000|REMUNERATION GERANT|||RELBQ|20210215|VIR INST BINET BENJAMIN|400|0|||20221208|||1737
bq|Banque|4|20210215|51200000|BOURSORAMA|||RELBQ|20210215|VIR INST BINET BENJAMIN|0|400|||20221208|||1737
bq|Banque|5|20210215|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||RELBQ|20210215|PRLV SEPA Haute-Normandie|180|0|||20221208|||1738
bq|Banque|5|20210215|51200000|BOURSORAMA|||RELBQ|20210215|PRLV SEPA Haute-Normandie|0|180|||20221208|||1738
bq|Banque|6|20210215|64115000|REMUNERATION GERANT|||RELBQ|20210215|VIR INST BINET BENJAMIN|350|0|||20221208|||1739
bq|Banque|6|20210215|51200000|BOURSORAMA|||RELBQ|20210215|VIR INST BINET BENJAMIN|0|350|||20221208|||1739
bq|Banque|7|20210215|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210215|VIR SEPA MOLESLA|0|600|||20221208|||1740
bq|Banque|7|20210215|51200000|BOURSORAMA|||RELBQ|20210215|VIR SEPA MOLESLA|600|0|||20221208|||1740
od|Opérations diverses|8|20210215|45510100|C/C BENJAMIN BINET|||OD2021|20210215|SOLDE INITIAL|0|1236,87|||20221208|||1741
od|Opérations diverses|8|20210215|51200000|BOURSORAMA|||OD2021|20210215|SOLDE INITIAL|1236,87|0|||20221208|||1741
bq|Banque|9|20210302|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210302|VIR INST BINANCE DIGITAL LIMIT|0|1403,16|||20221208|||1742
bq|Banque|9|20210302|64600000|PERS COTIS.SOC.PERS.EXPLOITANT|||RELBQ|20210302|PRLV SEPA Haute-Normandie|53|0|||20221208|||1742
bq|Banque|9|20210302|64115000|REMUNERATION GERANT|||RELBQ|20210302|VIR INST BINET BENJAMIN|947,67|0|||20221208|||1742
bq|Banque|9|20210302|51200000|BOURSORAMA|||RELBQ|20210302|VIR INST BINET BENJAMIN|0|947,67|||20221208|||1742
bq|Banque|9|20210302|51200000|BOURSORAMA|||RELBQ|20210302|PRLV SEPA Haute-Normandie|0|53|||20221208|||1742
bq|Banque|9|20210302|51200000|BOURSORAMA|||RELBQ|20210302|VIR INST BINANCE DIGITAL LIMIT|1403,16|0|||20221208|||1742
bq|Banque|10|20210304|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210304|VIR INST BINANCE DIGITAL LIMIT|0|534,61|||20221208|||1743
bq|Banque|10|20210304|51200000|BOURSORAMA|||RELBQ|20210304|VIR INST BINANCE DIGITAL LIMIT|534,61|0|||20221208|||1743
bq|Banque|11|20210305|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210305|VIR INST BINANCE DIGITAL LIMIT|0|1005,99|||20221208|||1744
bq|Banque|11|20210305|51200000|BOURSORAMA|||RELBQ|20210305|VIR INST BINANCE DIGITAL LIMIT|1005,99|0|||20221208|||1744
bq|Banque|12|20210308|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210308|VIR INST BINANCE DIGITAL LIMIT|0|465,91|||20221208|||1745
bq|Banque|12|20210308|64115000|REMUNERATION GERANT|||RELBQ|20210308|VIR INST BINET BENJAMIN|1000|0|||20221208|||1745
bq|Banque|12|20210308|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210308|VIR INST BINANCE DIGITAL LIMIT|0|869,87|||20221208|||1745
bq|Banque|12|20210308|70600000|PRESTATIONS DE SERVICES|||RELBQ|20210308|VIR INST BINANCE DIGITAL LIMIT|0|1190,01|||20221208|||1745
bq|Banque|12|20210308|51200000|BOURSORAMA|||RELBQ|20210308|VIR INST BINANCE DIGITAL LIMIT|869,87|0|||20221208|||1745
bq|Banque|12|20210308|51200000|BOURSORAMA|||RELBQ|20210308|VIR INST BINET BENJAMIN|0|1000|||20221208|||1745
